0.194829932	1.1
0.523537415	1.2
0.858775510	1.3
1.174421769	1.4
1.510748299	2.1
1.832925170	2.2
2.158367347	2.3
2.478594104	2.4
2.810544218	3.1
3.099863946	3.2
3.442721088	3.3
3.740952381	3.4
4.077278912	4.1
4.392925170	4.2
4.734693878	4.3
5.037619048	4.4
5.377006803	5.1
5.682721088	5.2
6.009229025	5.3
6.306394558	5.4
6.626394558	6.1
6.937619048	6.2
7.284897959	6.3
7.576598639	6.4
7.914013605	7.1
8.199183673	7.2
8.526802721	7.3
8.810884354	7.4
9.147210884	8.1
9.442176871	8.2
9.750204082	8.3
10.056054422	8.4
10.395646259	9.1
10.703673469	9.2
11.035578231	9.3
11.324081633	9.4
11.671292517	10.1
11.967414966	10.2
12.306621315	10.3
12.610612245	10.4
12.925170068	11.1
13.238639456	11.2
13.572721088	11.3
13.878639456	11.4
14.211700680	12.1
14.531700680	12.2
14.849523810	12.3
15.153197279	12.4
15.491700680	13.1
15.785578231	13.2
16.134965986	13.3
16.412517007	13.4
16.744489796	14.1
17.045986395	14.2
17.367392290	14.3
17.692721088	14.4
17.999455782	15.1
18.312925170	15.2
18.627482993	15.3
18.930136054	15.4
19.252244898	16.1
19.570068027	16.2
19.892244898	16.3
20.214421769	16.4
20.536598639	17.1
20.840272109	17.2
21.159183673	17.3
21.483537415	17.4
21.779659864	18.1
22.099591837	18.2
22.418503401	18.3
22.717823129	18.4
23.046530612	19.1
23.360000000	19.2
23.677823129	19.3
23.981496599	19.4
24.317823129	20.1
24.617142857	20.2
24.929523810	20.3
25.250612245	20.4
25.562993197	21.1
25.863401361	21.2
26.172517007	21.3
26.477278912	21.4
26.833197279	22.1
27.119455782	22.2
27.422040816	22.3
27.720272109	22.4
28.051156463	23.1
28.340680272	23.2
28.648707483	23.3
28.949115646	23.4
29.262857143	24.1
29.576054422	24.2
29.889523810	24.3
30.196462585	24.4
30.514285714	25.1
30.803106576	25.2
31.140136054	25.3
31.436190476	25.4
31.749659864	26.1
32.063129252	26.2
32.384217687	26.3
32.678095238	26.4
32.966530612	27.1
33.301768707	27.2
33.589115646	27.3
33.893877551	27.4
34.194285714	28.1
34.496870748	28.2
34.812517007	28.3
35.121632653	28.4
35.457959184	29.1
35.742040816	29.2
36.079433107	29.3
36.387233560	29.4
36.697687075	30.1
36.992653061	30.2
37.314829932	30.3
37.631564626	30.4
37.929795918	31.1
38.238911565	31.2
38.542585034	31.3
38.862585034	31.4
39.184761905	32.1
39.496054422	32.2
39.807165533	32.3
40.129523810	32.4
40.448435374	33.1
40.743401361	33.2
41.060136054	33.3
41.358367347	33.4
41.693605442	34.1
42.007074830	34.2
42.332517007	34.3
42.629659864	34.4
42.950748299	35.1
43.238095238	35.2
43.578775510	35.3
43.875918367	35.4
44.201360544	36.1
44.487619048	36.2
44.813219955	36.3
45.121088435	36.4
45.434557823	37.1
45.751360544	37.2
46.056054422	37.3
46.379319728	37.4
46.716666667	38.1
46.996349206	38.2
47.297959184	38.3
47.598367347	38.4
47.946666667	39.1
48.206802721	39.2
48.546394558	39.3
48.817414966	39.4
49.126530612	40.1
49.433469388	40.2
49.747619048	40.3
50.071292517	40.4
50.390204082	41.1
50.704761905	41.2
51.014444444	41.3
51.297687075	41.4
51.646258503	42.1
51.929251701	42.2
52.244897959	42.3
52.530068027	42.4
52.850068027	43.1
53.138503401	43.2
53.442176871	43.3
53.760000000	43.4
54.070204082	44.1
54.372789116	44.2
54.672108844	44.3
54.992108844	44.4
55.313197279	45.1
55.605895692	45.2
55.934693878	45.3
56.229886621	45.4
56.539863946	46.1
56.832358277	46.2
57.139591837	46.3
57.465034014	46.4
57.763492063	47.1
